v;trim;geo;cod-ca;ca;cod-prv;prv;loc-num;loc-imp;loc-pm2;nav-num;nav-imp;nav-pm2
2007;3;Provincia;8;Castilla-La Mancha;13;Ciudad Real;554;133819;1199,39;147;251217;353,54
2007;3;Provincia;8;Castilla-La Mancha;16;Cuenca;194;131957;1114,37;22;53386;332,84
2007;3;Provincia;8;Castilla-La Mancha;19;Guadalajara;233;201165;1512,95;86;225999;651,02
2007;3;Provincia;8;Castilla-La Mancha;45;Toledo;574;154972;1312,50;614;406045;623,75
2007;3;Comunidad;9;Cataluña;98;CATALUÑA;12592;227134;2062,64;2400;1205876;1096,88
2007;3;Provincia;9;Cataluña;8;Barcelona;8675;255916;2348,06;1557;1669469;1375,74
2007;3;Provincia;9;Cataluña;17;Girona;1449;182730;1656,06;330;758553;826,24
2007;3;Provincia;9;Cataluña;25;Lleida;1030;174908;1297,56;187;492142;589,21
2007;3;Provincia;9;Cataluña;43;Tarragona;1438;144879;1372,37;326;422623;674,42
2007;3;Comunidad;10;Comunitat Valenciana;98;COMUNITAT VALENCIANA;10514;149443;1428,61;2083;533695;695,44
2007;3;Provincia;10;Comunitat Valenciana;3;Alicante / Alacant;4253;144467;1375,37;476;340858;617,13
2007;3;Provincia;10;Comunitat Valenciana;12;Castellón / Castelló;1232;116534;1215,78;572;583477;708,97
2007;3;Provincia;10;Comunitat Valenciana;46;Valencia / València;5029;162241;1529,61;1035;583359;719,07
2007;3;Comunidad;11;Extremadura;98;EXTREMADURA;1144;112496;932,95;409;127582;308,18
2007;3;Provincia;11;Extremadura;6;Badajoz;688;128587;1039,43;219;143922;333,00
2007;3;Provincia;11;Extremadura;10;Cáceres;456;90888;789,98;190;99721;265,88
2007;3;Comunidad;12;Galicia;98;GALICIA;3749;134508;1193,33;257;472367;480,23
2007;3;Provincia;12;Galicia;15;A Coruña;1230;126979;1176,56;115;411401;457,47
2007;3;Provincia;12;Galicia;27;Lugo;640;106526;871,43;38;453579;400,53
2007;3;Provincia;12;Galicia;32;Ourense;502;111486;930,10;13;218799;259,32
